POLICY,Avg. TAT,Avg. WT, VMs, CORE(VM),TASKS, VM Band Width, VM MIPS, VM RAM, VM Image Size(MB),Cloudlet File Path
Fcfs,6.2941175,46.588234,5.0,4.0,21.0,1000.0,1000.0,512.0,100000.0,/home/omprashant/input/input3.txt~,
Fcfs,8.0,64.0,5.0,4.0,21.0,1000.0,1000.0,512.0,100000.0,/home/omprashant/input/input6.txt,
Fcfs,6.2941175,46.588234,5.0,4.0,21.0,1000.0,1000.0,512.0,100000.0,/home/omprashant/input/input3.txt,
